DATE,MANEMP
3/1/09,12208
4/1/09,12030
5/1/09,11862
6/1/09,11726
7/1/09,11668
8/1/09,11626
9/1/09,11591
10/1/09,11538
11/1/09,11509
12/1/09,11475
1/1/10,11460
2/1/10,11453
3/1/10,11453
4/1/10,11489
5/1/10,11525
6/1/10,11545
7/1/10,11561
8/1/10,11553
9/1/10,11563
10/1/10,11562
11/1/10,11585
12/1/10,11595
1/1/11,11621
2/1/11,11654
3/1/11,11675
4/1/11,11704
5/1/11,11713
6/1/11,11727
7/1/11,11746
8/1/11,11764
9/1/11,11769
10/1/11,11780
11/1/11,11770
12/1/11,11802
1/1/12,11838
2/1/12,11860
3/1/12,11898
4/1/12,11916
5/1/12,11927
6/1/12,11936
7/1/12,11964
8/1/12,11960
9/1/12,11954
10/1/12,11961
11/1/12,11950
12/1/12,11960
1/1/13,11983
2/1/13,11996
3/1/13,11999
4/1/13,12000
5/1/13,12000
6/1/13,12004
7/1/13,11984
8/1/13,12014
9/1/13,12032
10/1/13,12056
11/1/13,12079
12/1/13,12083
1/1/14,12081
2/1/14,12106
3/1/14,12120
4/1/14,12134
5/1/14,12146
6/1/14,12170
7/1/14,12189
8/1/14,12208
9/1/14,12226
10/1/14,12259
11/1/14,12284
12/1/14,12292
1/1/15,12292
2/1/15,12301
3/1/15,12312
4/1/15,12318
5/1/15,12333
6/1/15,12334
7/1/15,12349
8/1/15,12345
9/1/15,12354
10/1/15,12362
11/1/15,12357
12/1/15,12362
1/1/16,12383
2/1/16,12365
3/1/16,12342
4/1/16,12353
5/1/16,12332
6/1/16,12350
7/1/16,12372
8/1/16,12348
9/1/16,12347
10/1/16,12345
11/1/16,12342
12/1/16,12355
1/1/17,12366
2/1/17,12380
3/1/17,12393
4/1/17,12400
5/1/17,12409
6/1/17,12422
7/1/17,12423
8/1/17,12467
9/1/17,12477
10/1/17,12490
11/1/17,12505
12/1/17,12533
1/1/18,12556
2/1/18,12582
3/1/18,12608
4/1/18,12632
5/1/18,12661
6/1/18,12693
7/1/18,12714
8/1/18,12724
9/1/18,12743
10/1/18,12762
11/1/18,12774
12/1/18,12793
1/1/19,12822
2/1/19,12821
3/1/19,12819
4/1/19,12824
5/1/19,12821
6/1/19,12829
7/1/19,12832
8/1/19,12827
9/1/19,12820
10/1/19,12764
11/1/19,12812
12/1/19,12795
1/1/20,12784
2/1/20,12785
3/1/20,12717
4/1/20,11423
5/1/20,11656
6/1/20,11990
7/1/20,12025
8/1/20,12050
9/1/20,12095
10/1/20,12122
11/1/20,12157
12/1/20,12190
1/1/21,12184
2/1/21,12222
3/1/21,12268
4/1/21,12240
5/1/21,12268
6/1/21,12288
7/1/21,12350
8/1/21,12391
9/1/21,12413
10/1/21,12466
11/1/21,12514
12/1/21,12546
1/1/22,12559
